date,product_id,store_id,stock_on_hand,stock_physical_truth,reorder_point,stockout_flag
2025-03-20,P1000,S01,122,122,88,0
2025-03-21,P1000,S01,59,59,88,0
2025-03-22,P1000,S01,3,3,88,0
2025-03-23,P1000,S01,0,0,88,1
2025-03-24,P1000,S01,0,0,88,1
2025-03-25,P1000,S01,0,0,88,1
2025-03-26,P1000,S01,0,0,88,1
2025-03-27,P1000,S01,0,0,88,1
2025-03-28,P1000,S01,0,0,88,1
2025-03-29,P1000,S01,153,153,88,0
2025-03-30,P1000,S01,110,110,88,0
2025-03-31,P1000,S01,81,80,88,0
2025-04-01,P1000,S01,39,39,88,0
2025-04-02,P1000,S01,10,10,88,0
2025-04-03,P1000,S01,0,0,88,1
2025-04-04,P1000,S01,0,0,88,1
2025-04-05,P1000,S01,0,0,88,1
2025-04-06,P1000,S01,0,0,88,1
2025-04-07,P1000,S01,0,0,88,1
2025-04-08,P1000,S01,168,168,88,0
2025-04-09,P1000,S01,111,111,88,0
2025-04-10,P1000,S01,54,54,88,0
2025-04-11,P1000,S01,17,17,88,0
2025-04-12,P1000,S01,0,0,88,1
2025-04-13,P1000,S01,0,0,88,1
2025-04-14,P1000,S01,0,0,88,1
2025-04-15,P1000,S01,0,0,88,1
2025-04-16,P1000,S01,0,0,88,1
2025-04-17,P1000,S01,0,0,88,1
2025-04-18,P1000,S01,161,161,88,0
2025-04-19,P1000,S01,109,109,88,0
2025-04-20,P1000,S01,55,55,88,0
2025-04-21,P1000,S01,20,20,88,0
2025-04-22,P1000,S01,0,0,88,1
2025-04-23,P1000,S01,0,0,88,1
2025-04-24,P1000,S01,0,0,88,1
2025-04-25,P1000,S01,0,0,88,1
2025-04-26,P1000,S01,146,146,88,0
2025-04-27,P1000,S01,96,93,88,0
2025-04-28,P1000,S01,55,55,88,0
2025-04-29,P1000,S01,13,13,88,0
2025-04-30,P1000,S01,0,0,88,1
2025-05-01,P1000,S01,0,0,88,1
2025-05-02,P1000,S01,0,0,88,1
2025-05-03,P1000,S01,117,117,88,0
2025-05-04,P1000,S01,65,65,88,0
2025-05-05,P1000,S01,5,5,88,0
2025-05-06,P1000,S01,0,0,88,1
2025-05-07,P1000,S01,0,0,88,1
2025-05-08,P1000,S01,148,148,88,0
2025-05-09,P1000,S01,99,99,88,0
2025-05-10,P1000,S01,34,34,88,0
2025-05-11,P1000,S01,0,0,88,1
2025-05-12,P1000,S01,0,0,88,1
2025-05-13,P1000,S01,169,169,88,0
2025-05-14,P1000,S01,132,132,88,0
2025-05-15,P1000,S01,92,92,88,0
2025-05-16,P1000,S01,51,51,88,0
2025-05-17,P1000,S01,12,12,88,0
2025-05-18,P1000,S01,0,0,88,1
2025-05-19,P1000,S01,145,145,88,0
2025-05-20,P1000,S01,108,108,88,0
2025-05-21,P1000,S01,77,77,88,0
2025-05-22,P1000,S01,41,41,88,0
2025-05-23,P1000,S01,6,6,88,0
2025-05-24,P1000,S01,155,155,88,0
2025-05-25,P1000,S01,106,106,88,0
2025-05-26,P1000,S01,77,77,88,0
2025-05-27,P1000,S01,42,42,88,0
2025-05-28,P1000,S01,2,2,88,0
2025-05-29,P1000,S01,0,0,88,1
2025-05-30,P1000,S01,0,0,88,1
2025-05-31,P1000,S01,0,0,88,1
2025-06-01,P1000,S01,147,147,88,0
2025-06-02,P1000,S01,111,111,88,0
2025-06-03,P1000,S01,76,76,88,0
2025-06-04,P1000,S01,36,36,88,0
2025-06-05,P1000,S01,0,0,88,1
2025-06-06,P1000,S01,0,0,88,1
2025-06-07,P1000,S01,0,0,88,1
2025-06-08,P1000,S01,0,0,88,1
2025-06-09,P1000,S01,0,0,88,1
2025-06-10,P1000,S01,0,0,88,1
2025-06-11,P1000,S01,167,167,88,0
2025-06-12,P1000,S01,127,127,88,0
2025-06-13,P1000,S01,96,96,88,0
2025-06-14,P1000,S01,52,52,88,0
2025-06-15,P1000,S01,3,3,88,0
2025-06-16,P1000,S01,0,0,88,1
2025-06-17,P1000,S01,182,182,88,0
2025-06-18,P1000,S01,144,144,88,0
2025-06-19,P1000,S01,106,106,88,0
2025-06-20,P1000,S01,64,64,88,0
2025-06-21,P1000,S01,16,16,88,0
2025-06-22,P1000,S01,0,0,88,1
2025-06-23,P1000,S01,0,0,88,1
2025-06-24,P1000,S01,0,0,88,1
2025-06-25,P1000,S01,0,0,88,1
2025-06-26,P1000,S01,0,0,88,1
2025-06-27,P1000,S01,0,0,88,1
2025-06-28,P1000,S01,155,155,88,0
2025-06-29,P1000,S01,112,112,88,0
2025-01-01,P1001,S01,101,101,77,0
2025-01-02,P1001,S01,77,77,77,0
2025-01-03,P1001,S01,40,40,77,0
2025-01-04,P1001,S01,3,3,77,0
2025-01-05,P1001,S01,0,0,77,1
2025-01-06,P1001,S01,0,0,77,1
2025-01-07,P1001,S01,146,146,77,0
2025-01-08,P1001,S01,114,114,77,0
2025-01-09,P1001,S01,82,82,77,0
2025-01-10,P1001,S01,49,49,77,0
2025-01-11,P1001,S01,9,9,77,0
2025-01-12,P1001,S01,0,0,77,1
2025-01-13,P1001,S01,142,142,77,0
2025-01-14,P1001,S01,99,99,77,0
2025-01-15,P1001,S01,61,61,77,0
2025-01-16,P1001,S01,9,9,77,0
2025-01-17,P1001,S01,0,0,77,1
2025-01-18,P1001,S01,0,0,77,1
2025-01-19,P1001,S01,127,127,77,0
2025-01-20,P1001,S01,84,84,77,0
2025-01-21,P1001,S01,42,42,77,0
2025-01-22,P1001,S01,12,12,77,0
2025-01-23,P1001,S01,0,0,77,1
2025-01-24,P1001,S01,135,135,77,0
2025-01-25,P1001,S01,105,105,77,0
2025-01-26,P1001,S01,64,64,77,0
2025-01-27,P1001,S01,40,40,77,0
2025-01-28,P1001,S01,0,0,77,1
2025-01-29,P1001,S01,143,143,77,0
2025-01-30,P1001,S01,102,102,77,0
2025-01-31,P1001,S01,53,53,77,0
2025-02-01,P1001,S01,18,18,77,0
2025-02-02,P1001,S01,0,0,77,1
2025-02-03,P1001,S01,132,132,77,0
2025-02-04,P1001,S01,83,83,77,0
2025-02-05,P1001,S01,41,41,77,0
2025-02-06,P1001,S01,0,0,77,1
2025-02-07,P1001,S01,0,0,77,1
2025-02-08,P1001,S01,122,122,77,0
2025-02-09,P1001,S01,87,87,77,0
2025-02-10,P1001,S01,50,50,77,0
2025-02-11,P1001,S01,20,18,77,0
2025-02-12,P1001,S01,0,0,77,1
2025-02-13,P1001,S01,135,135,77,0
2025-02-14,P1001,S01,101,101,77,0
2025-02-15,P1001,S01,52,52,77,0
2025-02-16,P1001,S01,8,8,77,0
2025-02-17,P1001,S01,0,0,77,1
2025-02-18,P1001,S01,146,146,77,0
2025-02-19,P1001,S01,121,121,77,0
2025-02-20,P1001,S01,91,91,77,0
2025-02-21,P1001,S01,59,59,77,0
2025-02-22,P1001,S01,20,20,77,0
2025-02-23,P1001,S01,0,0,77,1
2025-02-24,P1001,S01,0,0,77,1
2025-02-25,P1001,S01,0,0,77,1
2025-02-26,P1001,S01,143,143,77,0
2025-02-27,P1001,S01,87,87,77,0
2025-02-28,P1001,S01,48,48,77,0
2025-03-01,P1001,S01,8,5,77,0
2025-03-02,P1001,S01,0,0,77,1
2025-03-03,P1001,S01,133,133,77,0
2025-03-04,P1001,S01,95,95,77,0
2025-03-05,P1001,S01,64,64,77,0
2025-03-06,P1001,S01,35,35,77,0
2025-03-07,P1001,S01,0,0,77,1
2025-03-08,P1001,S01,128,128,77,0
2025-03-09,P1001,S01,87,87,77,0
2025-03-10,P1001,S01,57,57,77,0
2025-03-11,P1001,S01,23,23,77,0
2025-03-12,P1001,S01,0,0,77,1
2025-03-13,P1001,S01,146,146,77,0
2025-03-14,P1001,S01,107,107,77,0
2025-03-15,P1001,S01,65,65,77,0
2025-03-16,P1001,S01,25,25,77,0
2025-03-17,P1001,S01,0,0,77,1
2025-03-18,P1001,S01,0,0,77,1
2025-03-19,P1001,S01,112,112,77,0
2025-03-20,P1001,S01,45,45,77,0
2025-03-21,P1001,S01,0,0,77,1
2025-03-22,P1001,S01,0,0,77,1
2025-03-23,P1001,S01,137,137,77,0
2025-03-24,P1001,S01,112,112,77,0
2025-03-25,P1001,S01,70,70,77,0
2025-03-26,P1001,S01,23,23,77,0
2025-03-27,P1001,S01,0,0,77,1
2025-03-28,P1001,S01,133,133,77,0
2025-03-29,P1001,S01,81,81,77,0
2025-03-30,P1001,S01,38,38,77,0
2025-03-31,P1001,S01,9,9,77,0
2025-04-01,P1001,S01,0,0,77,1
2025-04-02,P1001,S01,143,143,77,0
2025-04-03,P1001,S01,100,100,77,0
2025-04-04,P1001,S01,62,62,77,0
2025-04-05,P1001,S01,24,24,77,0
2025-04-06,P1001,S01,0,0,77,1
2025-04-07,P1001,S01,127,125,77,0
2025-04-08,P1001,S01,96,96,77,0
2025-04-09,P1001,S01,69,69,77,0
2025-04-10,P1001,S01,35,35,77,0
2025-04-11,P1001,S01,9,9,77,0
2025-04-12,P1001,S01,144,144,77,0
2025-04-13,P1001,S01,106,106,77,0
2025-04-14,P1001,S01,75,75,77,0
2025-04-15,P1001,S01,43,43,77,0
2025-04-16,P1001,S01,2,2,77,0
2025-04-17,P1001,S01,0,0,77,1
2025-04-18,P1001,S01,138,138,77,0
2025-04-19,P1001,S01,101,101,77,0
2025-04-20,P1001,S01,55,55,77,0
2025-04-21,P1001,S01,22,22,77,0
2025-04-22,P1001,S01,0,0,77,1
2025-04-23,P1001,S01,0,0,77,1
2025-04-24,P1001,S01,132,132,77,0
2025-04-25,P1001,S01,109,109,77,0
2025-04-26,P1001,S01,72,72,77,0
2025-04-27,P1001,S01,22,22,77,0
2025-04-28,P1001,S01,0,0,77,1
2025-04-29,P1001,S01,0,0,77,1
2025-04-30,P1001,S01,0,0,77,1
2025-05-01,P1001,S01,0,0,77,1
2025-05-02,P1001,S01,0,0,77,1
2025-05-03,P1001,S01,134,134,77,0
2025-05-04,P1001,S01,73,73,77,0
2025-05-05,P1001,S01,16,16,77,0
2025-05-06,P1001,S01,0,0,77,1
2025-05-07,P1001,S01,127,127,77,0
2025-05-08,P1001,S01,92,92,77,0
2025-05-09,P1001,S01,49,49,77,0
2025-05-10,P1001,S01,0,0,77,1
2025-05-11,P1001,S01,0,0,77,1
2025-05-12,P1001,S01,129,129,77,0
2025-05-13,P1001,S01,95,95,77,0
2025-05-14,P1001,S01,70,70,77,0
2025-05-15,P1001,S01,34,34,77,0
2025-05-16,P1001,S01,0,0,77,1
2025-05-17,P1001,S01,131,131,77,0
2025-05-18,P1001,S01,84,84,77,0
2025-05-19,P1001,S01,49,49,77,0
2025-05-20,P1001,S01,25,25,77,0
2025-05-21,P1001,S01,0,0,77,1
2025-05-22,P1001,S01,145,145,77,0
2025-05-23,P1001,S01,116,116,77,0
2025-05-24,P1001,S01,72,72,77,0
2025-05-25,P1001,S01,33,33,77,0
2025-05-26,P1001,S01,0,0,77,1
2025-05-27,P1001,S01,0,0,77,1
2025-05-28,P1001,S01,0,0,77,1
2025-05-29,P1001,S01,0,0,77,1
2025-05-30,P1001,S01,0,0,77,1
2025-05-31,P1001,S01,131,131,77,0
2025-06-01,P1001,S01,90,90,77,0
2025-06-02,P1001,S01,55,55,77,0
2025-06-03,P1001,S01,19,16,77,0
2025-06-04,P1001,S01,0,0,77,1
2025-06-05,P1001,S01,145,145,77,0
2025-06-06,P1001,S01,113,113,77,0
2025-06-07,P1001,S01,65,65,77,0
2025-06-08,P1001,S01,22,22,77,0
2025-06-09,P1001,S01,0,0,77,1
2025-06-10,P1001,S01,0,0,77,1
2025-06-11,P1001,S01,0,0,77,1
2025-06-12,P1001,S01,0,0,77,1
2025-06-13,P1001,S01,0,0,77,1
2025-06-14,P1001,S01,137,137,77,0
2025-06-15,P1001,S01,88,88,77,0
2025-06-16,P1001,S01,59,59,77,0
2025-06-17,P1001,S01,29,29,77,0
2025-06-18,P1001,S01,0,0,77,1
2025-06-19,P1001,S01,143,143,77,0
2025-06-20,P1001,S01,113,113,77,0
2025-06-21,P1001,S01,68,68,77,0
2025-06-22,P1001,S01,12,12,77,0
2025-06-23,P1001,S01,0,0,77,1
2025-06-24,P1001,S01,137,137,77,0
2025-06-25,P1001,S01,103,103,77,0
2025-06-26,P1001,S01,63,63,77,0
2025-06-27,P1001,S01,22,22,77,0
2025-06-28,P1001,S01,0,0,77,1
2025-06-29,P1001,S01,135,135,77,0
2025-01-01,P1002,S01,69,69,55,0
2025-01-02,P1002,S01,43,43,55,0
2025-01-03,P1002,S01,25,25,55,0
2025-01-04,P1002,S01,0,0,55,1
2025-01-05,P1002,S01,96,96,55,0
2025-01-06,P1002,S01,74,74,55,0
2025-01-07,P1002,S01,55,55,55,0
2025-01-08,P1002,S01,26,26,55,0
2025-01-09,P1002,S01,0,0,55,1
2025-01-10,P1002,S01,0,0,55,1
2025-01-11,P1002,S01,99,99,55,0
2025-01-12,P1002,S01,76,76,55,0
2025-01-13,P1002,S01,53,53,55,0
2025-01-14,P1002,S01,33,33,55,0
2025-01-15,P1002,S01,8,8,55,0
2025-01-16,P1002,S01,101,101,55,0
2025-01-17,P1002,S01,73,73,55,0
2025-01-18,P1002,S01,34,34,55,0
2025-01-19,P1002,S01,0,0,55,1
2025-01-20,P1002,S01,0,0,55,1
2025-01-21,P1002,S01,0,0,55,1
2025-01-22,P1002,S01,0,0,55,1
2025-01-23,P1002,S01,0,0,55,1
2025-01-24,P1002,S01,0,0,55,1
2025-01-25,P1002,S01,0,0,55,1
2025-01-26,P1002,S01,97,97,55,0
2025-01-27,P1002,S01,69,69,55,0
2025-01-28,P1002,S01,44,44,55,0
2025-01-29,P1002,S01,28,28,55,0
2025-01-30,P1002,S01,0,0,55,0
2025-01-31,P1002,S01,0,0,55,1
2025-02-01,P1002,S01,0,0,55,1
2025-02-02,P1002,S01,0,0,55,1
2025-02-03,P1002,S01,0,0,55,1
2025-02-04,P1002,S01,103,103,55,0
2025-02-05,P1002,S01,71,71,55,0
2025-02-06,P1002,S01,42,42,55,0
2025-02-07,P1002,S01,13,13,55,0
2025-02-08,P1002,S01,0,0,55,1
2025-02-09,P1002,S01,100,100,55,0
2025-02-10,P1002,S01,77,77,55,0
2025-02-11,P1002,S01,59,59,55,0
2025-02-12,P1002,S01,36,36,55,0
2025-02-13,P1002,S01,9,9,55,0
2025-02-14,P1002,S01,0,0,55,1
2025-02-15,P1002,S01,0,0,55,1
2025-02-16,P1002,S01,0,0,55,1
2025-02-17,P1002,S01,95,95,55,0
2025-02-18,P1002,S01,69,69,55,0
2025-02-19,P1002,S01,53,53,55,0
2025-02-20,P1002,S01,25,25,55,0
2025-02-21,P1002,S01,4,4,55,0
2025-02-22,P1002,S01,0,0,55,1
2025-02-23,P1002,S01,0,0,55,1
2025-02-24,P1002,S01,94,94,55,0
2025-02-25,P1002,S01,65,65,55,0
2025-02-26,P1002,S01,40,40,55,0
2025-02-27,P1002,S01,12,12,55,0
2025-02-28,P1002,S01,0,0,55,1
2025-03-01,P1002,S01,94,94,55,0
2025-03-02,P1002,S01,60,60,55,0
2025-03-03,P1002,S01,33,33,55,0
2025-03-04,P1002,S01,14,14,55,0
2025-03-05,P1002,S01,0,0,55,1
2025-03-06,P1002,S01,101,101,55,0
2025-03-07,P1002,S01,81,81,55,0
2025-03-08,P1002,S01,49,49,55,0
2025-03-09,P1002,S01,21,21,55,0
2025-03-10,P1002,S01,0,0,55,1
2025-03-11,P1002,S01,0,0,55,1
2025-03-12,P1002,S01,0,0,55,1
2025-03-13,P1002,S01,0,0,55,1
2025-03-14,P1002,S01,0,0,55,1
2025-03-15,P1002,S01,99,99,55,0
2025-03-16,P1002,S01,68,68,55,0
2025-03-17,P1002,S01,32,32,55,0
2025-03-18,P1002,S01,0,0,55,1
2025-03-19,P1002,S01,0,0,55,1
2025-03-20,P1002,S01,0,0,55,1
2025-03-21,P1002,S01,94,94,55,0
2025-03-22,P1002,S01,66,66,55,0
2025-03-23,P1002,S01,31,31,55,0
2025-03-24,P1002,S01,5,5,55,0
2025-03-25,P1002,S01,0,0,55,1
2025-03-26,P1002,S01,99,99,55,0
2025-03-27,P1002,S01,76,76,55,0
2025-03-28,P1002,S01,55,55,55,0
2025-03-29,P1002,S01,24,24,55,0
2025-03-30,P1002,S01,0,0,55,1
2025-03-31,P1002,S01,0,0,55,1
2025-04-01,P1002,S01,0,0,55,1
2025-04-02,P1002,S01,0,0,55,1
2025-04-03,P1002,S01,0,0,55,1
2025-04-04,P1002,S01,100,100,55,0
2025-04-05,P1002,S01,73,73,55,0
2025-04-06,P1002,S01,39,39,55,0
2025-04-07,P1002,S01,8,5,55,0
2025-04-08,P1002,S01,0,0,55,1
2025-04-09,P1002,S01,109,109,55,0
2025-04-10,P1002,S01,89,89,55,0
2025-04-11,P1002,S01,62,62,55,0
2025-04-12,P1002,S01,38,38,55,0
2025-04-13,P1002,S01,0,0,55,1
2025-04-14,P1002,S01,0,0,55,1
2025-04-15,P1002,S01,109,109,55,0
2025-04-16,P1002,S01,91,91,55,0
2025-04-17,P1002,S01,63,63,55,0
2025-04-18,P1002,S01,40,40,55,0
2025-04-19,P1002,S01,5,5,55,0
2025-04-20,P1002,S01,0,0,55,1
2025-04-21,P1002,S01,108,108,55,0
2025-04-22,P1002,S01,87,87,55,0
2025-04-23,P1002,S01,67,67,55,0
2025-04-24,P1002,S01,41,41,55,0
2025-04-25,P1002,S01,20,20,55,0
2025-04-26,P1002,S01,0,0,55,1
2025-04-27,P1002,S01,93,93,55,0
2025-04-28,P1002,S01,72,72,55,0
2025-04-29,P1002,S01,56,56,55,0
2025-04-30,P1002,S01,24,24,55,0
2025-05-01,P1002,S01,0,0,55,1
2025-05-02,P1002,S01,0,0,55,1
2025-05-03,P1002,S01,61,61,55,0
2025-05-04,P1002,S01,20,20,55,0
2025-05-05,P1002,S01,0,0,55,1
2025-05-06,P1002,S01,0,0,55,1
2025-05-07,P1002,S01,94,94,55,0
2025-05-08,P1002,S01,55,55,55,0
2025-05-09,P1002,S01,22,22,55,0
2025-05-10,P1002,S01,0,0,55,1
2025-05-11,P1002,S01,0,0,55,1
2025-05-12,P1002,S01,0,0,55,1
2025-05-13,P1002,S01,0,0,55,1
2025-05-14,P1002,S01,0,0,55,1
2025-05-15,P1002,S01,0,0,55,1
2025-05-16,P1002,S01,98,98,55,0
2025-05-17,P1002,S01,67,67,55,0
2025-05-18,P1002,S01,38,38,55,0
2025-05-19,P1002,S01,19,19,55,0
2025-05-20,P1002,S01,0,0,55,1
2025-05-21,P1002,S01,103,103,55,0
2025-05-22,P1002,S01,77,77,55,0
2025-05-23,P1002,S01,54,54,55,0
2025-05-24,P1002,S01,20,20,55,0
2025-05-25,P1002,S01,0,0,55,1
2025-05-26,P1002,S01,0,0,55,1
2025-05-27,P1002,S01,0,0,55,1
2025-05-28,P1002,S01,109,109,55,0
2025-05-29,P1002,S01,79,79,55,0
2025-05-30,P1002,S01,65,65,55,0
2025-05-31,P1002,S01,30,30,55,0
2025-06-01,P1002,S01,7,7,55,0
2025-06-02,P1002,S01,0,0,55,1
2025-06-03,P1002,S01,106,106,55,0
2025-06-04,P1002,S01,77,77,55,0
2025-06-05,P1002,S01,52,52,55,0
2025-06-06,P1002,S01,28,28,55,0
2025-06-07,P1002,S01,0,0,55,1
2025-06-08,P1002,S01,103,103,55,0
2025-06-09,P1002,S01,79,79,55,0
2025-06-10,P1002,S01,56,56,55,0
2025-06-11,P1002,S01,28,28,55,0
2025-06-12,P1002,S01,0,0,55,0
2025-06-13,P1002,S01,0,0,55,1
2025-06-14,P1002,S01,0,0,55,1
2025-06-15,P1002,S01,0,0,55,1
2025-06-16,P1002,S01,0,0,55,1
2025-06-17,P1002,S01,104,104,55,0
2025-06-18,P1002,S01,74,74,55,0
2025-06-19,P1002,S01,42,42,55,0
2025-06-20,P1002,S01,12,12,55,0
2025-06-21,P1002,S01,0,0,55,1
2025-06-22,P1002,S01,96,96,55,0
2025-06-23,P1002,S01,73,73,55,0
2025-06-24,P1002,S01,45,45,55,0
2025-06-25,P1002,S01,17,17,55,0
2025-06-26,P1002,S01,0,0,55,1
2025-06-27,P1002,S01,100,100,55,0
2025-06-28,P1002,S01,59,59,55,0
2025-06-29,P1002,S01,22,22,55,0
2025-01-01,P1003,S01,108,108,66,0
2025-01-02,P1003,S01,65,65,66,0
2025-01-03,P1003,S01,34,34,66,0
2025-01-04,P1003,S01,0,0,66,1
2025-01-05,P1003,S01,123,123,66,0
2025-01-06,P1003,S01,91,91,66,0
2025-01-07,P1003,S01,50,49,66,0
2025-01-08,P1003,S01,9,9,66,0
2025-01-09,P1003,S01,0,0,66,1
2025-01-10,P1003,S01,0,0,66,1
2025-01-11,P1003,S01,0,0,66,1
2025-01-12,P1003,S01,0,0,66,1
2025-01-13,P1003,S01,0,0,66,1
2025-01-14,P1003,S01,0,0,66,1
2025-01-15,P1003,S01,115,115,66,0
2025-01-16,P1003,S01,84,84,66,0
2025-01-17,P1003,S01,59,59,66,0
2025-01-18,P1003,S01,20,20,66,0
2025-01-19,P1003,S01,0,0,66,1
2025-01-20,P1003,S01,0,0,66,1
2025-01-21,P1003,S01,0,0,66,1
2025-01-22,P1003,S01,0,0,66,1
2025-01-23,P1003,S01,0,0,66,1
2025-01-24,P1003,S01,0,0,66,1
2025-01-25,P1003,S01,108,108,66,0
2025-01-26,P1003,S01,77,77,66,0
2025-01-27,P1003,S01,41,41,66,0
2025-01-28,P1003,S01,5,5,66,0
2025-01-29,P1003,S01,0,0,66,1
2025-01-30,P1003,S01,119,119,66,0
2025-01-31,P1003,S01,69,69,66,0
2025-02-01,P1003,S01,11,11,66,0
2025-02-02,P1003,S01,0,0,66,1
2025-02-03,P1003,S01,0,0,66,1
2025-02-04,P1003,S01,116,116,66,0
2025-02-05,P1003,S01,74,74,66,0
2025-02-06,P1003,S01,31,31,66,0
2025-02-07,P1003,S01,2,2,66,0
2025-02-08,P1003,S01,0,0,66,1
2025-02-09,P1003,S01,110,110,66,0
2025-02-10,P1003,S01,79,79,66,0
2025-02-11,P1003,S01,56,56,66,0
2025-02-12,P1003,S01,34,34,66,0
2025-02-13,P1003,S01,0,0,66,1
2025-02-14,P1003,S01,0,0,66,1
2025-02-15,P1003,S01,0,0,66,1
2025-02-16,P1003,S01,112,112,66,0
2025-02-17,P1003,S01,74,74,66,0
2025-02-18,P1003,S01,36,36,66,0
2025-02-19,P1003,S01,9,9,66,0
2025-02-20,P1003,S01,0,0,66,1
2025-02-21,P1003,S01,123,123,66,0
2025-02-22,P1003,S01,84,84,66,0
2025-02-23,P1003,S01,45,45,66,0
2025-02-24,P1003,S01,13,13,66,0
2025-02-25,P1003,S01,0,0,66,1
2025-02-26,P1003,S01,0,0,66,1
2025-02-27,P1003,S01,0,0,66,1
2025-02-28,P1003,S01,0,0,66,1
2025-03-01,P1003,S01,0,0,66,1
2025-03-02,P1003,S01,114,114,66,0
2025-03-03,P1003,S01,78,78,66,0
2025-03-04,P1003,S01,55,55,66,0
2025-03-05,P1003,S01,28,28,66,0
2025-03-06,P1003,S01,0,0,66,1
2025-03-07,P1003,S01,124,124,66,0
2025-03-08,P1003,S01,93,93,66,0
2025-03-09,P1003,S01,57,57,66,0
2025-03-10,P1003,S01,25,25,66,0
2025-03-11,P1003,S01,0,0,66,1
2025-03-12,P1003,S01,120,120,66,0
2025-03-13,P1003,S01,93,93,66,0
2025-03-14,P1003,S01,64,64,66,0
2025-03-15,P1003,S01,32,32,66,0
2025-03-16,P1003,S01,1,1,66,0
2025-03-17,P1003,S01,120,120,66,0
2025-03-18,P1003,S01,68,68,66,0
2025-03-19,P1003,S01,20,20,66,0
2025-03-20,P1003,S01,0,0,66,1
2025-03-21,P1003,S01,0,0,66,1
2025-03-22,P1003,S01,111,111,66,0
2025-03-23,P1003,S01,58,58,66,0
2025-03-24,P1003,S01,13,13,66,0
2025-03-25,P1003,S01,0,0,66,1
2025-03-26,P1003,S01,114,114,66,0
2025-03-27,P1003,S01,82,82,66,0
2025-03-28,P1003,S01,50,50,66,0
2025-03-29,P1003,S01,12,12,66,0
2025-03-30,P1003,S01,0,0,66,1
2025-03-31,P1003,S01,0,0,66,1
2025-04-01,P1003,S01,0,0,66,1
2025-04-02,P1003,S01,0,0,66,1
